Fruitfly|abd-A|Hox6-8|ANTP	TRINITY_DN1249_c1_g2_i2	2e-37	100.00	 135	1	60	60	784	963	5882
Beetle|abd-A|Hox6-8|ANTP	TRINITY_DN1249_c1_g2_i2	2e-37	100.00	 135	1	60	60	784	963	5882
Honeybee|Abd-A|Hox6-8|ANTP	TRINITY_DN1249_c1_g2_i2	9e-37	98.33	 133	1	60	60	784	963	5882
Fruitfly|Abd-B|Hox9-13(15)|ANTP	TRINITY_DN6577_c0_g1_i1	2e-33	98.33	 122	1	60	60	1446	1267	2412
Beetle|Abd-B|Hox9-13(15)|ANTP	TRINITY_DN6577_c0_g1_i1	4e-34	100.00	 124	1	60	60	1446	1267	2412
Honeybee|Abd-B|Hox9-13(15)|ANTP	TRINITY_DN6577_c0_g1_i1	4e-34	100.00	 124	1	60	60	1446	1267	2412
Beetle|Abox|Abox|ANTP	TRINITY_DN34961_c0_g1_i1	1e-19	94.87	77.8	22	60	60	2	118	246
Honeybee|Abox|Abox|ANTP	TRINITY_DN34961_c0_g1_i1	3e-19	92.31	76.6	22	60	60	2	118	246
Fruitfly|achi|Tgif|TALE	TRINITY_DN2537_c1_g1_i2	3e-34	95.24	 126	1	63	63	3338	3150	3630
Fruitfly|acj6|Pou4|POU	TRINITY_DN6220_c0_g1_i1	1e-15	56.14	72.0	3	59	60	1372	1202	2252
Beetle|Acj6|Pou4|POU	TRINITY_DN6220_c0_g1_i1	3e-16	55.93	74.3	1	59	60	1378	1202	2252
Honeybee|Acj6|Pou4|POU	TRINITY_DN6220_c0_g1_i1	3e-16	55.93	74.3	1	59	60	1378	1202	2252
Fruitfly|al|Arx|PRD	TRINITY_DN5220_c0_g1_i2	6e-35	100.00	 127	1	60	60	2812	2633	3323
Beetle|Al|Arx|PRD	TRINITY_DN28728_c0_g1_i1	2e-35	93.33	 120	1	60	60	216	37	503
Honeybee|Al|Arx|PRD	TRINITY_DN5220_c0_g1_i2	6e-35	100.00	 127	1	60	60	2812	2633	3323
Fruitfly|Antp|Hox6-8|ANTP	TRINITY_DN5068_c0_g1_i1	1e-34	100.00	 127	1	60	60	991	1170	4064
Honeybee|Antp|Hox6-8|ANTP	TRINITY_DN5068_c0_g1_i1	2e-33	98.33	 124	1	60	60	991	1170	4064
Fruitfly|ap|Lhx2/9|LIM	TRINITY_DN3709_c0_g1_i1	3e-33	93.33	 119	1	60	60	739	560	1005
Beetle|Ap1|Lhx2/9|LIM	TRINITY_DN3709_c0_g1_i1	3e-33	93.33	 119	1	60	60	739	560	1005
Honeybee|Ap1|Lhx2/9|LIM	TRINITY_DN3709_c0_g1_i1	7e-33	94.83	 117	1	58	60	739	566	1005
Beetle|Ap2|Lhx2/9|LIM	TRINITY_DN3709_c0_g1_i1	1e-35	96.67	 125	1	60	60	739	560	1005
Honeybee|Ap2|Lhx2/9|LIM	TRINITY_DN3709_c0_g1_i1	4e-36	98.33	 126	1	60	60	739	560	1005
Fruitfly|ara|Irx|TALE	TRINITY_DN15608_c0_g1_i1	2e-25	100.00	92.8	20	63	63	1	132	249
Beetle|Ara|Irx|TALE	TRINITY_DN15608_c0_g1_i1	2e-25	100.00	92.8	20	63	63	1	132	249
Honeybee|Ara|Irx|TALE	TRINITY_DN15608_c0_g1_i1	2e-25	100.00	92.8	20	63	63	1	132	249
Fruitfly|Awh|Lhx6/8|LIM	TRINITY_DN3709_c0_g1_i1	3e-15	51.67	69.7	1	60	60	739	560	1005
Beetle|Awh|Lhx6/8|LIM	TRINITY_DN3709_c0_g1_i1	1e-16	52.54	73.6	2	60	60	736	560	1005
Honeybee|Awh1|Lhx6/8|LIM	TRINITY_DN3709_c0_g1_i1	3e-15	49.15	69.7	2	60	60	736	560	1005
Honeybee|Awh2|Lhx6/8|LIM	TRINITY_DN3709_c0_g1_i1	1e-15	50.85	70.5	1	59	60	739	563	1005
Beetle|B-H|Barhl|ANTP	TRINITY_DN9749_c0_g1_i1	2e-15	54.55	67.0	2	56	60	235	71	236
Honeybee|B-H|Barhl|ANTP	TRINITY_DN9465_c0_g1_i2	1e-16	56.90	74.3	2	59	60	601	774	1207
Fruitfly|B-H1|Barhl|ANTP	TRINITY_DN9465_c0_g1_i2	1e-15	53.45	71.6	2	59	60	601	774	1207
Fruitfly|B-H2|Barhl|ANTP	TRINITY_DN9465_c0_g1_i2	2e-15	53.45	70.9	2	59	60	601	774	1207
Fruitfly|bap|Nk3|ANTP	TRINITY_DN4266_c0_g1_i1	1e-19	68.97	84.3	1	58	60	2794	2621	3565
Beetle|Bap|Nk3|ANTP	TRINITY_DN8721_c0_g1_i1	9e-19	62.71	79.3	1	59	60	423	599	1080
Honeybee|Bap|Nk3|ANTP	TRINITY_DN8721_c0_g1_i1	2e-18	64.41	78.2	1	59	60	423	599	1080
Beetle|Bari|Bari|ANTP	TRINITY_DN28117_c0_g1_i1	1e-19	66.67	81.3	2	58	60	339	509	955
Honeybee|Bari|Bari|ANTP	TRINITY_DN28117_c0_g1_i1	1e-19	66.67	81.3	2	58	60	339	509	955
Fruitfly|bcd|Hox3|ANTP	TRINITY_DN2231_c0_g1_i3	2e-12	51.79	62.8	2	57	60	299	466	1540
Beetle|Beetlebox1|Beetlebox|Other	TRINITY_DN11876_c0_g1_i1	6e-14	51.79	63.9	3	58	60	323	156	387
Beetle|Beetlebox2|Beetlebox|Other	TRINITY_DN11876_c0_g1_i1	3e-12	48.28	59.3	2	58	60	329	156	387
Fruitfly|bsh|Bsx|ANTP	TRINITY_DN9749_c0_g1_i1	5e-18	57.63	73.6	2	60	60	235	59	236
Beetle|Bsh|Bsx|ANTP	TRINITY_DN9749_c0_g1_i1	1e-17	57.63	72.4	2	60	60	235	59	236
Honeybee|Bsh|Bsx|ANTP	TRINITY_DN9749_c0_g1_i1	3e-17	57.63	71.6	2	60	60	235	59	236
Fruitfly|btn|Meox|ANTP	TRINITY_DN4927_c0_g2_i1	4e-26	81.67	98.6	1	60	60	293	472	760
Beetle|Btn|Meox|ANTP	TRINITY_DN4927_c0_g2_i1	5e-27	84.75	 100	2	60	60	296	472	760
Honeybee|Btn|Meox|ANTP	TRINITY_DN4927_c0_g2_i1	4e-27	86.44	 101	2	60	60	296	472	760
Fruitfly|C15|Tlx|ANTP	TRINITY_DN5104_c0_g1_i1	6e-16	59.32	73.6	1	59	60	6010	5834	7372
Beetle|C15|Tlx|ANTP	TRINITY_DN5104_c0_g1_i1	5e-17	62.71	76.6	1	59	60	6010	5834	7372
Honeybee|C15|Tlx|ANTP	TRINITY_DN5104_c0_g1_i1	5e-17	62.71	76.6	1	59	60	6010	5834	7372
Fruitfly|cad|Cdx|ANTP	TRINITY_DN3889_c0_g1_i1	1e-22	84.75	92.0	1	59	60	445	621	2492
Honeybee|Cad|Cdx|ANTP	TRINITY_DN3889_c0_g1_i1	7e-24	93.33	95.9	1	60	60	445	624	2492
Beetle|Cad1|Cdx|ANTP	TRINITY_DN3889_c0_g1_i1	2e-22	80.00	91.7	1	60	61	445	621	2492
Beetle|Cad2|Cdx|ANTP	TRINITY_DN3889_c0_g1_i1	3e-31	93.33	 117	1	60	60	445	624	2492
Fruitfly|caup|Irx|TALE	TRINITY_DN15608_c0_g1_i1	7e-25	97.73	91.3	20	63	63	1	132	249
Fruitfly|CG11085|Bari|ANTP	TRINITY_DN28117_c0_g1_i1	8e-19	64.91	79.0	2	58	60	339	509	955
Fruitfly|CG11294|CG11294|PRD	TRINITY_DN24465_c0_g1_i1	5e-27	77.97	98.2	1	59	60	70	246	380
Beetle|CG11294|CG11294|PRD	TRINITY_DN24465_c0_g1_i1	2e-27	79.66	99.0	1	59	60	70	246	380
Honeybee|CG11294|CG11294|PRD	TRINITY_DN24465_c0_g1_i1	2e-26	76.27	96.7	1	59	60	70	246	380
Fruitfly|CG11617|Mkx|TALE	TRINITY_DN13952_c0_g2_i1	7e-20	85.71	81.3	20	61	63	2	127	686
Fruitfly|CG12361|Dbx|ANTP	TRINITY_DN20659_c0_g1_i1	8e-24	77.36	89.0	5	57	60	109	267	268
Fruitfly|CG13424|Nedx|ANTP	TRINITY_DN9465_c0_g1_i2	5e-25	79.66	96.7	2	60	60	601	777	1207
Fruitfly|CG15696|Msxlx|ANTP	TRINITY_DN20391_c0_g1_i1	1e-13	52.63	63.5	2	58	60	285	455	574
Fruitfly|CG18599|Noto|ANTP	TRINITY_DN1902_c0_g3_i2	6e-31	90.00	 114	1	60	60	215	394	1642
Fruitfly|CG32105|Lmx|LIM	TRINITY_DN32746_c0_g1_i1	3e-16	50.88	68.9	4	60	60	72	242	247
Fruitfly|CG32532|Prop|PRD	TRINITY_DN28728_c0_g1_i1	7e-18	68.33	75.1	1	60	60	216	37	503
Fruitfly|CG34031|Abox|ANTP	TRINITY_DN34961_c0_g1_i1	1e-18	89.74	75.1	22	60	60	2	118	246
Fruitfly|CG34340|Drgx|PRD	TRINITY_DN28728_c0_g1_i1	5e-28	78.33	 101	1	60	60	216	37	503
Fruitfly|CG34367|Shox|PRD	TRINITY_DN28728_c0_g1_i1	1e-21	66.67	85.1	1	60	60	216	37	503
Fruitfly|CG4328|Lmx|LIM	TRINITY_DN32746_c0_g1_i1	3e-15	47.37	66.2	4	60	60	72	242	247
Fruitfly|CG7056|Hhex|ANTP	TRINITY_DN20659_c0_g1_i1	2e-12	58.00	58.9	8	57	60	118	267	268
Fruitfly|CG9876|Prrx|PRD	TRINITY_DN28728_c0_g1_i1	8e-23	69.49	88.2	2	60	60	213	37	503
Fruitfly|ct|Cux|CUT	TRINITY_DN5070_c0_g1_i2	4e-31	90.00	 117	1	60	60	3455	3634	4932
Beetle|Ct|Cux|CUT	TRINITY_DN5070_c0_g1_i2	1e-31	91.53	 118	2	60	60	3458	3634	4932
Honeybee|Ct|Cux|CUT	TRINITY_DN5070_c0_g1_i2	5e-31	91.53	 117	1	59	60	3455	3631	4932
Beetle|Cx|Hox5|ANTP	TRINITY_DN5068_c0_g1_i1	1e-29	93.22	 112	2	60	60	994	1170	4064
Beetle|Dbx|Dbx|ANTP	TRINITY_DN20659_c0_g1_i1	1e-26	83.02	95.9	5	57	60	109	267	268
